,Geographic Area,City,Median Income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
133,AL,Eclectic,41304.0,13.4,84.2,86.4,11.0,0.4,0.0,1.3
134,AL,Edgewater,26818.0,26.5,84.1,31.0,68.4,0.1,0.0,1.0
135,AL,Edwardsville,38438.0,5.1,87.0,98.0,0.5,0.0,0.0,0.0
136,AL,Egypt,56693.0,4.5,84.9,94.3,0.9,0.5,0.5,3.3
137,AL,Elba,26156.0,31.1,76.9,62.1,34.3,1.2,0.3,1.1
138,AL,Elberta,31190.0,15.8,85.8,92.9,1.4,0.3,0.8,5.3
139,AL,Eldridge,30000.0,37.8,75.0,97.7,0.8,0.0,0.0,0.0
140,AL,Elkmont,39583.0,11.2,78.2,85.9,12.7,1.2,0.0,0.0
141,AL,Elmore,40150.0,30.0,70.5,64.3,26.7,0.1,0.2,8.8
142,AL,Emelle,36250.0,0.0,79.3,5.7,94.3,0.0,0.0,0.0
143,AL,Emerald Mountain,91054.0,8.2,90.9,87.1,11.0,0.2,0.6,1.6
144,AL,Enterprise,54450.0,16.3,89.2,69.4,20.7,0.5,2.0,8.8
145,AL,Epes,25000.0,24.8,81.6,8.9,91.1,0.0,0.0,0.0
146,AL,Ethelsville,40417.0,32.3,80.6,74.1,25.9,0.0,0.0,0.0
147,AL,Eufaula,32845.0,25.3,81.5,51.0,44.6,0.5,0.6,4.3
148,AL,Eunola,42023.0,0.0,96.1,91.4,7.4,0.0,0.4,1.6
149,AL,Eutaw,22377.0,32.7,73.2,18.1,80.2,0.1,0.4,1.3
150,AL,Eva,39868.0,11.1,91.2,96.3,0.0,0.4,0.2,0.4
151,AL,Evergreen,18661.0,52.6,79.2,34.8,62.4,0.2,0.2,2.3
152,AL,Excel,34375.0,18.6,86.0,91.1,5.0,1.4,0.0,0.7
153,AL,Fairfield,34890.0,23.4,88.9,4.2,94.6,0.0,0.0,1.1
154,AL,Fairford,32269.0,0.0,57.6,61.3,17.7,19.9,0.0,0.0
155,AL,Fairhope,61489.0,11.2,95.4,91.1,6.2,0.2,0.7,2.8
156,AL,Fairview,37750.0,24.0,82.0,95.5,0.2,0.0,0.4,11.2
157,AL,Falkville,33846.0,26.0,65.1,92.1,3.4,1.1,0.1,2.2
158,AL,Faunsdale,20625.0,30.2,85.7,67.3,32.7,0.0,0.0,0.0
159,AL,Fayette,30646.0,25.9,79.1,73.4,24.3,0.3,0.3,1.4
160,AL,Fayetteville,34632.0,15.3,68.5,97.2,1.3,0.3,0.0,0.3
161,AL,Five Points,45000.0,20.4,61.9,46.8,52.5,0.0,0.0,0.0
162,AL,Flomaton,24406.0,30.2,77.3,69.5,27.2,1.6,0.1,2.3
163,AL,Florala,25673.0,30.1,79.6,80.1,15.8,0.8,0.4,2.8
